day,scenario,seed,mean_health,mean_sdh_risk,mean_isolation,mean_acute_dependence,acute_events_today,prevention_acts_today,social_links_today,mean_fatigue,gini_fatigue,burnout_count,top10_load_ratio,coop_acts_today,coordination_level,pending_tasks,M1,M2,M3,M4,M5,FC_A1,FC_A2,FC_A3,FC_B1,FC_B2,FC_B3,FC_B4,FC_C1,FC_C2,FC_C3,cum_acute_events,cum_M1,cum_M2,cum_M3,cum_M4,cum_M5,cum_FC_A1,cum_FC_A2,cum_FC_A3,cum_FC_B1,cum_FC_B2,cum_FC_B3,cum_FC_B4,cum_FC_C1,cum_FC_C2,cum_FC_C3,total_nudge_interventions,label
1,C,0,0.6596,0.3628,0.2588,0.0112,3,12,0,0.2225,0.2609,0,0.2105,5,0.5588,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,C
2,C,0,0.6559,0.3615,0.2581,0.0367,7,14,2,0.2601,0.2592,0,0.1429,8,0.6948,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,10,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,C
3,C,0,0.6554,0.3612,0.2596,0.0607,7,17,0,0.3005,0.2276,0,0.1379,6,0.8281,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,C
4,C,0,0.6564,0.3632,0.2626,0.0722,4,12,0,0.3199,0.2485,0,0.2,5,0.9,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,1,C
5,C,0,0.6424,0.3648,0.2653,0.1027,9,12,0,0.3538,0.2648,0,0.1538,6,0.99,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,1,C
6,C,0,0.6363,0.365,0.2671,0.1202,6,15,0,0.3901,0.2652,0,0.1481,7,0.99,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,36,6,6,6,1,0,0,0,0,0,0,0,0,0,0,0,1,C
7,C,0,0.6358,0.3685,0.2711,0.1253,3,9,0,0.3875,0.2782,0,0.2667,4,0.99,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,39,7,7,7,1,0,0,0,1,0,0,0,0,0,0,0,2,C
8,C,0,0.6413,0.3678,0.2723,0.1377,5,14,0,0.4164,0.2734,0,0.1429,10,0.99,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,44,8,8,8,1,0,0,0,2,0,0,0,0,0,0,0,3,C
9,C,0,0.6313,0.3721,0.2768,0.1535,6,8,0,0.4149,0.2912,0,0.25,3,0.99,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,50,9,9,9,1,0,0,0,3,0,0,0,0,0,0,0,4,C
10,C,0,0.6309,0.3737,0.2796,0.1612,4,14,0,0.4276,0.2978,0,0.1905,4,0.99,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,54,10,10,10,1,0,0,0,4,0,0,0,0,0,0,0,5,C
11,C,0,0.6125,0.378,0.2841,0.189,9,7,0,0.4358,0.3001,0,0.2105,4,0.99,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,63,11,11,11,1,0,0,0,5,0,0,0,0,0,0,0,6,C
12,C,0,0.6193,0.3796,0.2868,0.1885,2,13,0,0.444,0.3199,0,0.2105,5,0.99,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,65,12,12,12,1,0,0,0,6,0,0,0,0,0,0,0,7,C
13,C,0,0.6134,0.3816,0.2898,0.196,4,10,0,0.4571,0.3185,0,0.2,7,0.99,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,69,13,13,13,1,0,0,0,7,0,0,0,0,0,0,0,8,C
14,C,0,0.6029,0.3851,0.2938,0.2152,7,9,0,0.4665,0.3337,0,0.2105,4,0.99,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,76,14,14,14,1,0,0,0,8,0,0,0,0,0,0,0,9,C
15,C,0,0.5929,0.3856,0.2958,0.2465,10,12,0,0.5036,0.3165,0,0.1333,9,0.99,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,86,15,15,15,1,0,0,0,9,0,0,0,0,0,0,0,10,C
