day,scenario,seed,mean_health,mean_sdh_risk,mean_isolation,mean_acute_dependence,acute_events_today,prevention_acts_today,social_links_today,mean_fatigue,gini_fatigue,burnout_count,top10_load_ratio,coop_acts_today,coordination_level,pending_tasks,M1,M2,M3,M4,M5,FC_A1,FC_A2,FC_A3,FC_B1,FC_B2,FC_B3,FC_B4,FC_C1,FC_C2,FC_C3,cum_acute_events,cum_M1,cum_M2,cum_M3,cum_M4,cum_M5,cum_FC_A1,cum_FC_A2,cum_FC_A3,cum_FC_B1,cum_FC_B2,cum_FC_B3,cum_FC_B4,cum_FC_C1,cum_FC_C2,cum_FC_C3,total_nudge_interventions,label
1,C,0,0.6596,0.3628,0.2588,0.0112,3,12,0,0.2225,0.2609,0,0.2105,5,0.5588,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,C-noN2
2,C,0,0.6559,0.363,0.2606,0.0367,7,14,0,0.2601,0.2592,0,0.1429,8,0.6948,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,10,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,C-noN2
3,C,0,0.6554,0.3627,0.2621,0.0607,7,17,0,0.3005,0.2276,0,0.1379,6,0.8281,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,17,3,3,3,0,0,0,0,0,0,0,0,0,2,0,0,2,C-noN2
4,C,0,0.6564,0.3647,0.2651,0.0722,4,12,0,0.3199,0.2485,0,0.2,5,0.9,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,21,4,4,4,0,0,0,0,0,0,0,0,0,3,0,0,2,C-noN2
5,C,0,0.643,0.3663,0.2678,0.1027,9,12,0,0.3538,0.2648,0,0.1538,6,0.99,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,30,5,5,5,0,0,0,0,0,0,0,0,0,4,0,0,2,C-noN2
6,C,0,0.6419,0.3665,0.2696,0.1202,6,15,0,0.3901,0.2652,0,0.1481,7,0.99,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,36,6,6,6,0,0,0,0,0,0,0,0,0,5,0,0,2,C-noN2
7,C,0,0.6383,0.37,0.2736,0.1253,3,9,0,0.3875,0.2782,0,0.2667,4,0.99,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,39,7,7,7,0,0,0,0,1,0,0,0,0,6,0,0,3,C-noN2
8,C,0,0.6438,0.3693,0.2748,0.1377,5,14,0,0.4164,0.2734,0,0.1429,10,0.99,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,44,8,8,8,0,0,0,0,2,0,0,0,0,7,0,0,4,C-noN2
9,C,0,0.6338,0.3736,0.2793,0.1535,6,8,0,0.4149,0.2912,0,0.25,3,0.99,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,50,9,9,9,0,0,0,0,3,0,0,0,0,7,0,0,5,C-noN2
10,C,0,0.6329,0.3752,0.2821,0.1612,4,14,0,0.4276,0.2978,0,0.1905,4,0.99,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,54,10,10,10,0,0,0,0,4,0,0,0,0,7,0,0,6,C-noN2
11,C,0,0.6145,0.3795,0.2866,0.189,9,7,0,0.4358,0.3001,0,0.2105,4,0.99,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,63,11,11,11,0,0,0,0,5,0,0,0,0,7,0,0,7,C-noN2
12,C,0,0.6213,0.3811,0.2893,0.1885,2,13,0,0.444,0.3199,0,0.2105,5,0.99,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,65,12,12,12,0,0,0,0,6,0,0,0,0,7,0,0,8,C-noN2
13,C,0,0.6223,0.3831,0.2923,0.196,4,10,0,0.4571,0.3185,0,0.2,7,0.99,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,69,13,13,13,0,0,0,0,7,0,0,0,0,7,0,0,9,C-noN2
